file_name,extension,size,duration,video_codec,audio_codec,resolution
029 - Star.Wars.The.Clone.Wars.S02E17.1080p.BluRay.x264 - Bounty Hunters.mkv,.mkv,1.45 GB,0:22:36,h264,ac3,1920x816
030 - Star.Wars.The.Clone.Wars.S02E18.1080p.BluRay.x264 - The Zillo Beast.mkv,.mkv,1.45 GB,0:22:30,h264,ac3,1920x816
031 - Star.Wars.The.Clone.Wars.S02E19.1080p.BluRay.x264 - The Zillo Beast Strikes Back.mkv,.mkv,1.45 GB,0:22:37,h264,ac3,1920x816
032 - Star.Wars.The.Clone.Wars.S02E04.1080p.BluRay.x264 - Senate Spy.mkv,.mkv,1.45 GB,0:22:40,h264,ac3,1920x816
033 - Star.Wars.The.Clone.Wars.S02E05.1080p.BluRay.x264 - Landing at Point Rain.mkv,.mkv,1.45 GB,0:22:23,h264,ac3,1920x816
034 - Star.Wars.The.Clone.Wars.S02E06.1080p.BluRay.x264 - Weapons Factory.mkv,.mkv,1.45 GB,0:22:38,h264,ac3,1920x816
035 - Star.Wars.The.Clone.Wars.S02E07.1080p.BluRay.x264 - Legacy of Terror.mkv,.mkv,1.46 GB,0:22:38,h264,ac3,1920x816
036 - Star.Wars.The.Clone.Wars.S02E08.1080p.BluRay.x264 - Brain Invaders.mkv,.mkv,1.45 GB,0:22:33,h264,ac3,1920x816
037 - Star.Wars.The.Clone.Wars.S02E09.1080p.BluRay.x264 - Grievous Intrigue.mkv,.mkv,1.46 GB,0:22:19,h264,ac3,1920x816
038 - Star.Wars.The.Clone.Wars.S02E10.1080p.BluRay.x264 - The Deserter.mkv,.mkv,1.45 GB,0:22:37,h264,ac3,1920x816
039 - Star.Wars.The.Clone.Wars.S02E11.1080p.BluRay.x264 - Lightsaber Lost.mkv,.mkv,1.45 GB,0:22:39,h264,ac3,1920x816
040 - Star.Wars.The.Clone.Wars.S02E12.1080p.BluRay.x264 - The Mandalore Plot.mkv,.mkv,1.45 GB,0:22:40,h264,ac3,1920x816
041 - Star.Wars.The.Clone.Wars.S02E13.1080p.BluRay.x264 - Voyage of Temptation.mkv,.mkv,1.46 GB,0:22:40,h264,ac3,1920x816
042 - Star.Wars.The.Clone.Wars.S02E14.1080p.BluRay.x264 - Duchess of Mandalore.mkv,.mkv,1.45 GB,0:21:57,h264,ac3,1920x816
043 - Star.Wars.The.Clone.Wars.S02E20.1080p.BluRay.x264 - Death Trap.mkv,.mkv,1.45 GB,0:22:33,h264,ac3,1920x816
044 - Star.Wars.The.Clone.Wars.S02E21.1080p.BluRay.x264 - R2 Come Home.mkv,.mkv,1.46 GB,0:22:24,h264,ac3,1920x816
